AAB	Abelag Aviation - Belgium	ABG
JEE	Ambjek Air Services Limited - Nigeria	Ambjek Air
JEF	Jetflite Oy, Finland - Finland	Jetflite
JEI	Jet Executive International Charter GmbH & Co. Kg, Dusseldorf - GERMANY	Jet Executive
JEP	Jets Personales S.A. - Spain	Jet Personales
JES	Jetsmart Airlines S.A. - Argentina	Smartbird
JET	Svenskt Industriflyg Ab - Sweden	Tradewind
JFA	Jetfly Aviation S.A. - Luxembourg	Mosquito
JFE	Jamaica Far East Limited - Jamaica	Jamaica Cargo
JFL	Jetfly Airline GmbH - Austria	Blue Danube
JFS	Jetflight Services, S.A. de C.V. - Mexico	Servijet
JFY	Foster Yeoman Ltd. - United Kingdom	Yeoman
JGB	Aerolineas Jet Global, C.A. - Venezuela (Bolivarian Republic of)	Jetglobal
JGJ	Jinggong Globaljet (Zhejiang) Jet Co., Ltd - China	Global Jinggong
JGO	Jetgo Australia Holdings Pty Ltd. - Australia	Jetgo
JHK	Xi An Aviation Base Jinsheng General Aviation Co., Ltd - China	Shengli
JHN	Johnson Air, Inc. (Batavia, NY) - United States	Air Johnson
JIA	PSA Airlines - United States	Bluestreak
JIM	Sark International Airways - United Kingdom	Sark
JIS	Air Jupiter - Nigeria	Jupair
JIT	Jet It - United States	Jet It
JIV	Jivair Ab - Sweden	Jiv Air
JJA	Jeju Air - Republic of Korea	Jeju Air
JJM	Regional Geodata Air, S.A. - Spain	Geodata
JJP	Jetstar Japan Co., Ltd - Japan	Orange Liner
JKA	Letourneau University, School of Aeronautical Science (Longview, TX) - United States	Jacket
JKH	JK Jetkontor AG - Germany	Jetkontor
JKK	Spanair - Spain	Spanair
JKN	KSA Charters Ltd DBA Junkanoo Air - Bahamas	Junkanoo Air
JKR	Justice Air Inc. - United States	Joker
JKT	Jetstar Hong Kong Airways Limited - China	Kaitak
JKY	Helicopter & Aviation Services Ltd - United Kingdom	Jockey
JLA	Aero JL - Mexico	Aero Joe
JLB	Jhonlin Air Transport, Pt. - Indonesia	Jhonlin
JLC	Angelic Air - United States	Angelic
JLF	International Air Charters, Inc. - United States	Jetlyft
JLG	Jet Logistics, Inc. (Raleigh, NC) - United States	Logistics
JLH	Centro de Servicio Aeronautico S.A de C.V. - Mexico	Cesa
JLJ	Noble Air Charter - United States	Highborn
JLL	Jetlite (India) Ltd - India	Lite Jet
JLM	Atlantic Express Airlines - Gambia	Atlantic Gambia
JLN	Private Jet - Malta	Jetline
JLX	Jetlink Express Limited - Kenya	Ken Jet
JMA	Jambojet Limited - Kenya	Chui
JMC	JMC Airlines Limited - United Kingdom	Jayemmsee
JME	Ejme (Portugal) Aircraft Management Lda - Portugal	Jetman
JMG	Jet Management San Marino S.r.l. - San Marino	Tre Torre
JMK	Jetmagic Ltd - Malta	Jet Magic
JML	Jet Aviation Flight Services (Malta) Ltd. - Malta	Malta Jet
JMM	Joint Military Commission (JMC) Nuba Mountains - Sudan - Sudan	Joicomair
JMP	Business Wings Luftfahrtunternehmen GmbH, Ahnatal - Germany	Jump Run
JMR	Latinamericanwings S.A - Chile	Lahwings
JMS	Arc En Ciel - Senegal	Sky Aviation
JMX	Air Jamaica Express Limited - Jamaica	Jamaica Express
JNA	Jin Air Co., Ltd - Republic of Korea	Jin Air
JNH	M and N Equipment, LLC D/B/A M & N Aviation (Casper, WY) - United States	Jonah
JNK	Aircompany Jonika LLC - Ukraine	Jonika
JNL	Jetnetherlands - Netherlands	Jetnetherlands
JNS	Jet Support Services Limited - Nigeria	African Queen
JNV	Jetnova de Aviacion Ejecutiva, S.A. - Spain	Jetnova
JNY	Journey Aviation, LLC - United States	Rock Band
JOB	Aerojobeni, S.A. de C.V. - Mexico	Jobeni
JOE	Jet-Ops Europe Ltd - Bulgaria	Jet-Europe
JON	Joon - France	Joon
JOY	Joy Air Co., Ltd - China	Joy Air
JPA	Operational Support Airlift Command (OSACOM) (Fort Belvoir, VA) - United States	J-Pat
JPB	ACP Jet Charter, Inc. - United States	Palmbeach Jet
JPJ	Aircompany Jupiter Jet Llp - Kazakhstan	Jupiterjet
JPL	Jetsplus - United States	Sequoia
JPN	Jeppesen UK Ltd - United Kingdom	Jetplan
JPO	Jetpro, S.A. de C.V. - Mexico	Jetpro
JPR	United States Government, Department of the Interior - United States	Jumper
JPS	Air National Corporate Ltd - New Zealand	Jetplus
JPT	Prime Jet (Scottsdale, AZ) - United States	Primetime
JPV	Jet Pool Network Luftverkehrs GmbH - Austria	Jetpool
JRC	Jetair Caribbean (United Caribbean Airlines) - Netherlands	Jetair
JRH	JR Investments T/A Halsteds Aviation Corporation - Zimbabwe	Bluetip
JRT	Jetright Air Management, LLC - United States	Jetright
JRY	Jet Ready - Spain	Jet Ready
JSA	Jetstar Asia Airways Pte Ltd - Singapore	Jetstar Asia
JSC	Jetstream Aviation Congo - Congo	Congo River
JSH	Jet-Stream Ltd - Hungary	Stream Air
JSI	Jet Air Group, Joint Stock Company - Russian Federation	Sistema
JSJ	JS Air (Private) Limited - Pakistan	JS Charter
JSL	Northern Air Transport, Inc. D/B/A Selectjet - United States	Selectjet
JSN	Suncor Energy Inc. - Canada	Jetsun
JSP	Jetstream Aviation Inc (Boise, ID) - United States	Spooler
JST	Jetstar Airways Pty. Ltd - Australia	Jetstar
JSU	Jiangsu Jet Co. Ltd. - China	Su Jet
JSW	Jigsaw Project (Bristow Helicopters Ltd) - United Kingdom	Jigsaw
JSX	Delux Public Charter LLC - United States	Bigstripe
JSY	Jung Sky - Croatia	Jung Sky
JTA	Japan Transocean Air Co., Ltd. - Japan	Jai Ocean
JTD	Jettime AS - Denmark	New Jet
JTE	National Jet Express - Australia	Jetex
JTI	Imperialjet Europe GmbH, Hallbergmoos - Germany	Jetclipper
JTL	Jet Linx Aviation, LLC (Omaha, NE) - United States	Jet Linx
JTM	East Coast Flight Services, Inc. - United States	Jet Coast
JTN	Jet Test and Transport, LLC - United States	Jet Test
JTR	Executive Aviation Services Ltd - United Kingdom	Jester
JTS	Zeman Flugtechnik & Logistik GmbH - Germany	Jetservice
JTT	Jet-2000 - Russian Federation	Moscow Jet
JTU	Zhetysu - Kazakhstan	Zhetysu
JTZ	Nicholas Services, LLC - United States	Steel Jet
JUA	Jupiter Airlines Limited - Gambia	Jupiter Gambia
JUB	Jubba Airways - Somalia	Jubba
JUC	Juba Cargo Services & Aviation Co. Ltd - Sudan	Juba Cargo
JUP	UAB Jump Air - Lithuania	Jump Air
JUS	USA Jet Airlines, Inc. (Belleville, MI) - United States	Jet USA
JUT	Jutland Jets Air Taxi A/S - Denmark	Jutland
JVE	Jive Aviation Lp - Canada	Huron
JWD	Jayawijaya Dirgantara, Pt. - Indonesia	Wijaya Air
JWX	Jetways Airlines - Kenya	Jetways
JXT	Jetstream Executive Travel Ltd - United Kingdom	Vannin
JYA	National Air Charters, Inc. - United States	Sun Biz
JYH	Nine Air Co., Ltd. - China	Trans Jade
JYP	J & P Corporate Flights, S.A. de C.V. - Mexico	Corp-Flight
JYR	Transporte Aereo de Carga del Caribe S.A. Taeca - Panama	Taeca
JZA	Jazz Aviation LP - Canada	Jazz
JZR	Jazeera Airways - Kuwait	Jazeera
KAB	Air Pohang - Republic of Korea	Air Pohang
KAC	Kuwait Airways Corporation - Kuwait	Kuwaiti
KAG	Korea Aviation College - Republic of Korea	Aviation College
KAJ	Karthago Airlines - Tunisia	Karthago
KAL	Korean Air Lines Co., Ltd. - Republic of Korea	Koreanair
KAM	Sunkar Air - Kazakhstan	Sunkar
KAN	Kansas Highway Patrol (Topeka, KS) - United States	Kansas
KAP	Hyannis Air Service, Inc. D/B/A Cape Air (Hyannis, MA) - United States	Cair
KAR	Aircompany Ikar, LLC - Russian Federation	Ikar
KAV	Armenian Helicopters - Armenia	Armheli
KAY	K5-Aviation GmbH, Gammelsdorf - Germany	Kayak
KAZ	Comlux-KZ JSC - Kazakhstan	Kazlux
KBA	Kenn Borek Air Ltd. - Canada	Borek Air
KBD	Jetkey - France	Jet Key
KBL	Kabul Air - Afghanistan	Kabul Air
KBN	Sriracha Aviation Co. Ltd. - Thailand	Kabin
KBR	Koralblue Airlines - Egypt	Koral Blue
KBV	Kustbevakningen - Sweden	Swecoast
KBX	Ibex-U.L. Sp. z.o.o. - Poland	Skybex
KBZ	Air KBZ Limited - Myanmar	Jade Air
KCE	Irving Oil Transport Ltd - Canada	Kacey
KCH	KC International Airlines Co., Ltd - Cambodia	Cam Air
KCR	Kolob Canyon Air Services (Cedar City, UT) - United States	Kolob
KCU	Skyline Ulasim Ticaret A.S. - Turkey	Kocoglu
KDR	Royal Daisy Airlines Ltd - Uganda	Darlines
KDS	Schuman Aviation Company Ltd (Honolulu, HI) - United States	Kaleo
KEA	Korea Express Airlines - Republic of Korea	Korea Express
KEJ	Kaz Air Jet JSC - Kazakhstan	Kazairjet
KEM	Cemair (Pty) Ltd - South Africa	Cemair
KEN	Kenmore Air Harbor, Inc. (Kenmore, WA) - United States	Kenmore
KER	Kermas Aviation - Malta	Kermas
KEW	Keewatin Air - Canada	Blizzard
KEY	Key Air, LLC (Oxford, CT) - United States	Key Air
KFA	Kelowna Flightcraft Air Charter Ltd. - Canada	Flightcraft
KFB	Superior Transportation Associates, Inc - DBA Stajets - United States	Mission
KFC	Kremenchuk Flight College - Ukraine	Kremenchuk
KFE	Skyfirst Ltd - Malta	Morito
KFK	Aero Charter Krifka Ges mbH - Austria	Krifka Air
KFR	Kingfisher Airlines Limited - India	Kingfisher
KFS	Kalitta Flying Service, Inc. (Morristown, TN) - United States	Kalitta
KGB	Sapsan Airline - Kyrgyzstan	Sapsan
KGC	Air Kg - Kyrgyzstan	Salam Air
KGK	Sky Kg Airlines - Kyrgyzstan	Kyrgyz Sky
KGL	Aircompany Kogalymavia Ltd - Russian Federation	Kogalym
KGS	Kap.Kg Aircompany LLC - Kyrgyzstan	Berkut
KGT	Knights Airlines Ltd - Nigeria	Knight-Liner
KHA	Kitty Hawk Aircargo, Inc. (Dallas-Ft. Worth, TX) - United States	Air Kittyhawk
KHF	Regional State Unitary Enterprise Khabarovsk Airlines - Russian Federation	Khabarovsk
KHP	Khozestan Photros Air Lines - Iran (Islamic Republic of)	Photros Air
KHR	Khazar - Turkmenistan	Khazar
KHT	Khatlon Air - Tajikistan	Khatlon
KHV	Cambodia Angkor Air - Cambodia	Cambodia Air
KHY	Khyber Afghan Airlines - Afghanistan	Khyber
KIC	King Cobra Heli-Taxi, S.A. de C.V. - Mexico	King Cobra
KIE	Afit GmbH, Pullach - Germany	Tweety
KII	Kalitta Charters II LLC - United States	Dragster
KIN	Kinloss FTU - United Kingdom	Kinloss
KIP	Kinnarps - Sweden	Kinnarps
KIS	Kish Air - Iran (Islamic Republic of)	Kish Air
KIW	Royal New Zealand Air Force - New Zealand	Kiwi
KJD	Forces Aeriennes Algeriennes - Algeria	Algerian Airforce
KJE	Kapajet - Greece	Kapajet
KJT	Shanghai Kingjet General Aviation Co., Ltd - China	Shanghai Kingjet
KKK	Atlasjet Havacilik A.S. - Turkey	Atlasjet
KLA	Ska SA Aircraft Leasing (Pty) Ltd - South Africa	Skylight Air
KLC	KLM Cityhopper Bv - Netherlands	City
KLD	Air Klaipeda - Lithuania	Air Klaipeda
KLG	Karlog Air Charter Aps - Denmark	Karlog
KLJ	JSC Klasjet - Lithuania	Class Line
KLM	KLM Royal Dutch Airlines - Netherlands	KLM
KLR	Columbus Air Transport, Inc. (Columbus, OH) - United States	Kay-Ler
KLX	Kelix Air - Nigeria	Kelix
KLZ	Aerokaluz, S.A. de C.V. - Mexico	Aerokaluz
KMA	Komiaviatrans, Open Joint Stock Company - Russian Federation	Komi Avia
KME	Cambodia Airways Co., Ltd. - Cambodia	Giant Ibis
KMF	Kam Air - Afghanistan	Kamgar
KMI	K-Mile Air Co., Ltd - Thailand	Kay-Mile Air
KMK	Kamaka Air, Inc. - United States	Kamaka
KMW	Kostroma Airenterprise - Russian Federation	Kostroma
KMZ	Comores Aviation International - Comoros	Comores Aviation
KNA	Kunming Airlines Co., Ltd - China	Kunming Air
KND	Kannithi Aviation Co., Ltd - Thailand	Kannithi Air
KNE	Flynas Company Closed Joint Stock Company - Saudi Arabia	Nas Express
KNM	G B Helicopters Ltd - United Kingdom	Kingdom
KNT	Flightpath Charter Airways Inc. - Canada	Kinetic
KNY	Kenley (RAF) - United Kingdom	Kenley
KNZ	Executive Travel Air (Shreveport, LA) - United States	Kinze
KOA	Koanda Aviacion, S.L. - Spain	Koanda
KOC	Setair - Turkey	Setair
KOK	Horizon Air Service (Honolulu, HI) - United States	Koko
KOM	Cosmo Lineas Aereas S.L. - Spain	Blackeagle
KOR	Air Koryo - Democratic People's Republic of Korea	Air Koryo
KOW	Baker Aviation, LLC (Fort Worth, TX) - United States	Rodeo
KPA	He Nan Airlines Co., Ltd - China	Kun Peng
KPO	Nxt Jet, Inc - United States	Krypto
KPR	Trustco Air Services (Pty) Ltd - Namibia	Skipper
KPT	Kapital Aviation - United Kingdom	Balado
KQA	Kenya Airways Ltd. - Kenya	Kenya
KRC	New Zealand Defence Force - New Zealand	Kiwi Rescue
KRE	Aerosucre S.A. - Colombia	Aerosucre
KRF	UK Royal/VIP Flights (in Military Aircraft) - United Kingdom	Kittyhawk
KRH	UK Royal/VIP Flights (in Civil Chartered Aircraft) - United Kingdom	Sparrowhawk
KRO	Kroonk, Air Agency Ltd - Ukraine	Kroonk
KRP	Carpatair S.A. - Romania	Carpatair
KRS	Air Company Course-S - Russian Federation	Atlas
KRT	Kirknewton (RAF) - United Kingdom	Kirknewton
KRU	Karun Airlines - Iran (Islamic Republic of)	Karun
KRV	Khoriv-Avia, State Enterprise - Ukraine	Khoriv-Avia
KSA	K.S. Avia - Latvia	Sky Camel
KSF	Kent State University - United States	Kent
KSI	Air Kissari, Transporte Aereo - Angola	Kissari
KSM	Kosmos - Russian Federation	Kosmos
KSP	Servicios Aereos Especializados en Transportes Petroleros - Colombia	Saep
KST	PTL Luftfahrtunternehmen GmbH, Landshut - Germany	King Star
KSU	Kansas State University (Manhattan, KS) - United States	K-State
KTA	K2 Airways - Pakistan	City Link
KTB	Transaviabaltika - Lithuania	Transbaltika
KTK	Azur Air - Russian Federation	Azur Air
KTL	P & P Floss Pick Manufacturers Cc. - South Africa	Knottsberry
KTO	Aeroservicios Kratos S.A. de C.V. - Mexico	Kratos
KTU	Korea National University of Transport - Republic of Korea	Transport Uni
KTV	Kata Transportation Co. Ltd - Sudan	Katavia
KUA	Kaua Transportes Aereos, S.A. de C.V. - Mexico	Transportes Kaua
KUD	Kudos Aviation - United Kingdom	Air Kudos
KUG	Kuwaiti Gov. - Kuwait	Kuwaiti Gov
KUH	Kush Aviation Co. Ltd - Sudan	Kush Aviation
KUK	Kudlik Aviation Inc. - Canada	Kudlik
KUR	Kura-Kura Aviation, Pt. - Indonesia	Kay-Aviation
KUS	National Airways Corporation Cape Town (Pty) Ltd Trading As National Airlines - South Africa	Kuswag
KVA	Kavok Airlines, C.A. - Venezuela (Bolivarian Republic of)	Catatumbo
KVN	Korea Aviation Co. Ltd - Republic of Korea	Korea Aviation
KVT	K5 Transport Logistics (Pty) Ltd T/A K5 Aviation - South Africa	All Africa
KWN	Kwena Air, South African Charter - South Africa	Kwena
KXA	Jiangxi Express Commuter Aviation Co. Ltd. - China	Finder Air
KXP	M Jets International Sdn Bhd - Malaysia	Xpress Kargo
KYC	Skybird Air Limited - Nigeria	Skybird Charter
KYD	Sky Messaging (Pty) Ltd - South Africa	Skyad
KYE	Sky Lease I, Inc. (Greensboro, NC) - United States	Sky Cube
KYR	Sky Aeronautical Services, S.A. de C.V. - Mexico	Sky Aeronautical
KYY	Kaya Airlines - Mozambique	Kamoz
KZH	Zhezkazgan-Air (Zhez Air) - Kazakhstan	Ulutau
KZN	Aviaservice LLC - Russian Federation	Kazanair
KZR	Air Astana - Kazakhstan	Astanaline
KZU	ULS Airlines Cargo - Turkey	Universal Cargo
KZW	Khalifa Airways - Algeria	Khalifa Air
LAA	Libyan Airlines - Libya	Libair
LAB	L A B Flying Service (Haines, AK) - United States	LAB
LAC	Lockheed Aircraft Corp. (Burbank, CA) - United States	Lockheed
LAD	Lebanon Airport Development Corp. (West Lebanon, NH) - United States	Ladco-Air
LAF	Latvian Air Force - Latvia	Latvian Airforce
LAG	Aviation Legacy - Gambia	Avileg
LAK	Red Wing Aeroplane Company - Russian Federation	Redlake
LAM	LAM - Linhas Aereas de Mocambique - Mozambique	Mozambique
LAN	Linea Aerea Nacional de Chile (LAN) - Chile	Lan Chile
LAO	Lao Airlines - Lao People's Democratic Republic	Lao
LAP	Transportes Aereos del Mercosur S.A. - Paraguay	Paraguaya
LAQ	Lebanese Air Transport - Lebanon	LAT
LAR	Lawrence Aviation, Inc. (Lawrence, KS) - United States	Lawrence
LAS	Lions Air Skymedia AG DBA Skymedia - Switzerland	Lions Helicopter
LAT	Lebanese Air Transport (Charter) Co. S.A.L. - Lebanon	Lebanese Air
LAU	Lineas Aereas Suramericanas Ltda. - Colombia	Suramericano
LAV	Alba Star, S.A. - Spain	Albastar
LAY	Layang-Layang Aerospace Sdn. Bhd. - Malaysia	Layang
LBA	Lobaye Airways - Central African Republic	Lobaye
LBB	Libyan Bluebird - Libya	Libyan Blue Bird
LBF	Air Force of Libya - Libya	Libyan Airforce
LBO	Allibo Air Cargo - Libya	Allibo Freight
LBQ	Quest Diagnostics (Reading, PA) - United States	Labquest
LBR	Air Borealis - Canada	Northlight
LBT	Nouvel Air Tunisie - Tunisia	Nouvelair
LCA	Leconte Airlines (Wrangell, AK) - United States	Leconte
LCB	L.C.Busre SAC - Peru	Busre
LCC	The Lancair Company (Bend, OR) - United States	Lancair
LCH	Lynch Flying Service, Inc. (Billings, MT) - United States	Lynch Air
LCM	Lineas Aereas Comerciales, S.A. de C.V. - Mexico	Lineas Comerciales
LCN	Lineas Aereas Canedo (LAC) - Bolivia (Plurinational State of)	Canedo
LCO	LAN Cargo S.A. - Chile	Lan Cargo
LCS	Leuchars - United Kingdom	Leuchars
LCT	Link Conexion Aerea, S.A. de C.V. - Mexico	Conexion Link
LCV	Smartlynx Airlines Cabo Verde - Cabo Verde	Cabo Cat
LCY	Execujet (UK) Ltd - United Kingdom	London City
LDA	Lauda Europe Ltd. - Malta	Beaufort
LDG	Leading Edge Aviation Ltd. - United Kingdom	Edge
LDM	Lauda Motion GmbH - Austria	Lauda Motion
LDN	Al-Donas Airlines Ltd - Nigeria	Aldonas Air
LDR	Aero Lider, S.A. de C.V. - Mexico	Aerolider
LDS	Lineas Aereas del Sur S.A. - Argentina	Linsur
LDX	Sparfell Luftfahrt GmbH - Austria	Lauda Rush
LEA	Unijet - France	Leadair
LEB	Lebap - Turkmenistan	Lebap
LEC	Linex - Central African Republic	Leca
LED	Blom Geomatics AS - Norway	Sweeper
LEE	Leeming FTU - United Kingdom	Javelin
LEG	The Army Aviation Heritage Foundation (Hampton, GA) - United States	Legacy
LEL	Leonesa de Aviacion S.L. - Spain	Leonavia
LEM	Aviatsa (Aviacion Tecnologica S.A.) - Honduras	Lempiras
LEN	Lentini Aviation, Inc. (Pontiac, MI) - United States	Lentini
LEO	Sunair Air Ole S.L. - Spain	Sun-Ole
LEP	Lepl Project Limited (Air Costa) - India	Lecosta
LER	Linea Aerea de Servicio Ejecutivo Regional, C.A. - Venezuela (Bolivarian Republic of)	Laser
LET	Aerolineas Ejecutivas, S.A. de C.V. - Mexico	Mexale
LEU	Lions Air Skymedia AG DBA Lions Air - Switzerland	Lionsair
LEX	Lexair Corporate Aviation - United States	Lexair
LFA	Aerosim Academy Inc. - United States	Bucky
LFE	Life Air Linhas Aereas S.A. - Brazil	Life Air
LFI	National Airways Corporation (Helicopters) Ltd,  South Africa - South Africa	Aeromed
LFL	Executive Air - Zimbabwe	Life Flight
LFO	DLR Deutsches Zentrum fur Luft- und Raumfahrt E.V. - Germany	Lufo
LFR	Atlantic Airfreight Aviation (Sao Tome) Ltd - Sao Tome and Principe	Lanfreight
LGA	Logistic Air Sdn. Bhd. D/B/A Logistic Air - Malaysia	Logair
LGC	Legacy Air Co., Ltd - Thailand	Legacy Air
LGF	Legacy Airways, LLC - United States	Legacy Freight
LGI	LG International Corporation - Republic of Korea	Ell-Gee Air
LGL	Luxair - Societe Luxembourgeoise de Navigation Aerienne S.A. - Luxembourg	Luxair
LGN	Aerolaguna, S.A. de C.V. - Mexico	Aerolaguna
LGT	Longtail Aviation Ltd - United Kingdom	Longtail
LGU	Servicios Aereos Ejecutivos de la Laguna, S.A. de C.V. - Mexico	Laguna
LHA	China Central Longhao Airlines Co., Ltd. - China	Air Canton
LHB	Liebherr-Aviation GmbH - Germany	Family
LHC	London Helicopter Charters Ltd - United Kingdom	London Eye
LHG	Aviation Leader General Aviation Co., Ltd - China	Air Leader
LHN	Express One International, Inc. (Dallas, TX) - United States	Longhorn
LHT	Lufthansa Technik AG, Hamburg - Germany	Lufthansa Technik
LIA	Leeward Islands Air Transport (1974) Ltd. - Antigua and Barbuda	Liat
LIB	Polizeihubschrauberstaffel Hamburg, Hamburg - Germany	Libelle
LIC	Asia Sky Lines - Tajikistan	Asiasline
LID	Alidaunia S.r.l. - Italy	Alida
LIE	Al-Dawood Air Ltd - Nigeria	Al-Dawood Air
LIF	Rocky Mountain Holdings, L.L.C. (Provo, UT) - United States	Lifecare
LIL	SC Fly Lili S.R.L. - Romania	Lilies
LIN	Aerolimousine Ltd - Russian Federation	Aerolimousine
LIO	Lionel Air S.A.C. - Peru	Lionel
LIP	Lipican Aer D.O.O. - Slovenia	Lipizan
LIR	Minsk Aircraft Overhaul Plant - Belarus	Lisline
LIX	Linxair D.O.O. - Slovenia	Rapidlinx
LJB	Al Jabeer - United Arab Emirates	Al Jaber
LJC	Regency Jet - United Kingdom	Little Jet
LJM	Rutair Limited D/B/A Air Link - Jamaica	Cool Runnings
LJT	Taxijet - Spain	Lifejet
LJY	L.J. Associates D/B/A L J Aviation (Latrobe, PA) - United States	Eljay
LKA	Luke Air - Malta	Luke Air
LKE	Lucky Air Co., Ltd - China	Lucky Air
LKF	Aviation Advisor, Inc. (Antioch, IL) - United States	Lakefront
LKH	Small Planet - Cambodia	Skyplanet
LKN	Pt Nam Air - Indonesia	Namair
LKS	Airlink Solutions, S.L. - Spain	Airlin
LLB	Lloyd Aereo Boliviano, S.A. - Bolivia (Plurinational State of)	Lloydaereo
LLC	Small Planet Airlines JSC - Lithuania	Small Planet
LLD	Lloyd Aviation, C.A. - Venezuela (Bolivarian Republic of)	Avia Lloyd
LLE	Aerotransporte Convalles - Venezuela (Bolivarian Republic of)	Convalles
LLJ	Beijing Mayboune General Aviation Co., Ltd. - China	Mayboune Jet
LLK	Life Line Aviation - Greece	Air Life
LLL	Lao Skyway - Lao People's Democratic Republic	Lavie
LLM	Yamal Airlines, Joint-Stock Company - Russian Federation	Yamal
LLN	Allen Corporation of America - United States	Allen
LLP	Small Planet Airlines Sp. z.o.o. - Poland	Skypol
LLR	Alliance Air - India	Allied
LLS	Servicios Aereos Estrella, S.A. de C.V. - Mexico	Serviestrella
LLT	Classic Jet - Lithuania	Classic Jet
LLY	Let S Fly - Spain	Letsy
LMA	Aerolima, S.A. de C.V. - Mexico	Aerolima
LMD	Lamia - Venezuela (Bolivarian Republic of)	Lamia
LME	Lignes Mauritaniennes Air Express - Mauritania	Limair Express
LMG	South African Air Force - South Africa	South African
LMJ	Masterjet, Aviacao Executiva S.A. - Portugal	Masterjet
LMK	Grantex Aviation - United Kingdom	Landmark
LMP	Servicios Aereos e Inmobiliarios Asi S.A. de C.V. - Mexico	Saisa
LMR	Lamra Ltd - Sudan	Lamair
LMS	Lomas Helicopters Ltd - United Kingdom	Lomas
LMU	Almasria Universal Airlines - Egypt	Almasria
LNA	Lnair Air Services S.L. - Spain	Elnair
LNE	Aerolane - Lineas Aereas Nacionales del Ecuador S.A. - Ecuador	Aerolane
LNG	Lockheed Martin Aeronautics Company (Fort Worth, TX) - United States	Lightning
LNI	Lion Mentari Airlines, Pt. - Indonesia	Lion Inter
LNK	SA Airlink (Pty) Ltd - South Africa	Link
LNM	Liaoning Meridian Jet Co., Ltd. - China	Air Ring
LNQ	Linksair Ltd - United Kingdom	Fastlink
LNX	London Executive Aviation Ltd - United Kingdom	Lonex
LOA	Leoair Holdings (Pty) Ltd - South Africa	Leoair Trainer
LOC	Locair, Inc. (Fort Lauderdale, FL) - United States	Locair
LOF	Trans States Airlines, Inc. D/B/A Trans World Express - United States	Waterski
LOG	Logan Air Limited - United Kingdom	Logan
LOJ	Lojy Air - Egypt	Lojy Air
LOK	Alok Air Co. - Sudan	Alok Air
LOL	Easycharter LLC - Georgia	Easy Charter
LON	Legend of the Nile Aviation - Egypt	Misr
LOP	Linton-On-Ouse FTU - United Kingdom	Linton
LOR	Leo-Air CC - South Africa	Leo Charter
LOS	Lossiemouth FTU - United Kingdom	Lossie
LOT	LOT - Polskie Linie Lotnicze - Poland	Lot
LOX	Flyrich LLC - United States	Lox Jet
LPA	Leap - Sweden	Leap
LPC	Alpine Aviation (Pty) Ltd - South Africa	Netstar
LPD	UK Royal/HRH Duke of York - United Kingdom	Leopard
LPE	LAN Peru S.A. - Peru	Lanperu
LPL	Lease-A-Plane International (Northbrook, IL) - United States	Lease-A-Plane
LPR	Lotnicze Pogotowie Ratunkowe - Poland	Ratovnik
LRB	L R Airlines Ltd - Czech Republic	Lady Racine
LRC	Avianca Costa Rica, S.A - Costa Rica	Lacsa
LRD	Laredo Air (Laredo, TX) - United States	Laredo Air
LRG	Soluciones Aereas de la Laguna, S.A. de C.V. - Mexico	Solaer Laguna
LRK	Skyjet Aviation Services Limited - Nigeria	Skylark
LRQ	Luxembourg Air Ambulance - Luxembourg	Lux Rescue
LRR	Lorraine Aviation - France	Lorraine
LRT	Liberty Jet Management (Ronkonkoma, NY) - United States	Liberty Jet
LRW	Al Rida Airways - Mauritania	Al Rida
LSC	Los Cedros Aviacion - Chile	Cedros
LSJ	Air Liaison - Canada	Liaison
LSK	Skylight LLC - Russian Federation	Skylight
LSM	Luxaviation San Marino S.r.l. - San Marino	Titan
LSN	VL Servicios Nacionales, S.A. de C.V. - Mexico	Servi Nal
LSO	Lone Star Communications - United States	Starcom
LSP	Spectrum Aviation Incorporated - United Kingdom	Air Tony
LST	Lesortec, S.A. de C.V. - Mexico	Lesortec
LSV	Slovenian Ministry of Defence - Slovenia	Slovenian Airforce
LSX	Atlas Executive Air, S.L. - Spain	Atlas Exec
LSY	Lebanon Sky Aviation - Lebanon	Lebanon Sky
LTA	Leadership in Flight Training, LLC, DBA As Lift Academy - United States	Lift
LTC	Charter Jets - Lithuania	Charter Jets
LTD	Executive Express Aviation D/B/A Ja Air Charter (Sugar Grove, IL) - United States	Lightspeed
LTE	L T E International Airways S.A. - Spain	Fun Jet
LTF	Let's Fly S.R.O. - Czech Republic	Lets Fly
LTG	Absa Aerolinhas Brasileiras S/A - Brazil	Tamcargo
LTL	Benin Littoral Airways - Benin	Littoral
LTR	Lufttransport A/S - Norway	Luft Transport
LTS	Flight Inspections and Systems, CJSC - Russian Federation	Specair
LTU	Tfc Flugbetrieb und -Technik Beratungsgesellschaft mbH - Germany	Germanair
LTZ	Loutzavia Charters CC - South Africa	Laminar
LUC	Albinati Aeronautics SA - Switzerland	Albinati
LUK	Lukoil-Avia - Russian Federation	Lukoil
LUT	Luft Cargo (Pty) Ltd - South Africa	Lugo
LVB	IRS Airlines - Nigeria	Silverbird
LVS	Insignia Aviacion, S.A. de C.V. - Mexico	Signia
LVT	Elevate Jet LLC - United States	Elevate
LVW	Pacific Sky Aviation Inc - Canada	Longview
LWA	Libyan Wings - Libya	Libyan Wings
LWC	Transportes Aereos de Acapulco, S.A. de C.V - Mexico	Transaca
